t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275152.666898,,,0,0,,,,,,,,,,,,,,,-0.004768,0.406844,0.285916,0.301938,-0.001335,-0.010491,0.996213,-0.002442,0.173382,0.148962,0.109890,-0.007326,0.065934,0.321368,1.620513,10.276923,2.434676,-0.007326,0.075702
1787275152.671850,,,0,0,,,,,,,,,,,,,,,-0.004768,0.406844,0.285916,0.301938,-0.001335,-0.010491,0.996213,-0.002442,0.173382,0.148962,0.109890,-0.007326,0.065934,0.321368,1.620513,10.276923,2.434676,-0.007326,0.075702
1787275152.676851,,,0,0,,,,,,,,,,,,,,,-0.004768,0.407607,0.286297,0.302319,-0.001335,-0.010109,0.996213,0.002442,0.168498,0.148962,0.095238,-0.007326,0.065934,0.307692,1.606838,10.194872,2.444444,-0.007326,0.061050
1787275152.681850,,,0,0,,,,,,,,,,,,,,,-0.004768,0.409895,0.288205,0.302701,-0.001335,-0.009346,0.996213,0.002442,0.212454,0.144078,0.036630,-0.007326,0.021978,0.307692,1.333333,10.017094,2.488400,-0.002442,0.036630
1787275152.686850,,,0,0,,,,,,,,,,,,,,,-0.004768,0.409895,0.288205,0.302701,-0.001335,-0.009346,0.996213,0.002442,0.212454,0.144078,0.036630,-0.007326,0.021978,0.307692,1.333333,10.017094,2.488400,-0.002442,0.036630
1787275152.691849,,,0,0,,,,,,,,,,,,,,,-0.004768,0.410658,0.288968,0.303082,-0.001335,-0.009346,0.996213,0.002442,0.207570,0.158730,0.051282,-0.007326,0.007326,0.307692,1.251282,9.935043,2.493284,-0.002442,0.041514
1787275152.696849,,,0,0,,,,,,,,,,,,,,,-0.004768,0.412184,0.290112,0.303464,-0.001335,-0.009346,0.996213,0.002442,0.173382,0.129426,0.051282,-0.007326,-0.007326,0.321368,1.223932,9.921368,2.493284,-0.007326,0.065934
1787275152.701859,,,0,0,,,,,,,,,,,,,,,-0.004768,0.412566,0.290494,0.303845,-0.001335,-0.009346,0.996213,-0.002442,0.163614,0.139194,0.080586,-0.007326,-0.007326,0.307692,1.210256,9.866667,2.478632,-0.002442,0.080586
1787275152.706849,,,0,0,,,,,,,,,,,,,,,-0.004768,0.413710,0.291257,0.304990,-0.001335,-0.008965,0.996213,0.002442,0.139194,0.119658,0.124542,-0.007326,0.051282,0.307692,1.237607,9.866667,2.410256,-0.002442,0.080586
1787275152.711849,,,0,0,,,,,,,,,,,,,,,-0.004768,0.414092,0.291638,0.304990,-0.001335,-0.008965,0.996213,0.002442,0.139194,0.105006,0.080586,-0.007326,0.007326,0.307692,1.169231,9.894017,2.380952,-0.002442,0.075702
1787275152.716855,,,0,0,,,,,,,,,,,,,,,-0.004768,0.415236,0.292401,0.306134,-0.001335,-0.008965,0.996213,-0.002442,0.139194,0.105006,0.109890,-0.021978,0.021978,0.307692,1.128205,9.798291,2.346764,-0.002442,0.085470
1787275152.721852,,,0,0,,,,,,,,,,,,,,,-0.004768,0.415236,0.292401,0.306134,-0.001335,-0.008965,0.996213,-0.002442,0.139194,0.105006,0.109890,-0.021978,0.021978,0.307692,1.128205,9.798291,2.346764,-0.002442,0.085470
1787275152.726852,1787275152.725257,1.595,1,1,-0.004768,0.415236,0.292401,0.306134,-0.001335,-0.008965,1.000000,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,0.996213,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,0.996213,0.002442,0.134310,0.105006,0.080586,-0.007326,-0.007326,0.307692,1.087179,9.825641,2.336996,-0.002442,0.085470
1787275152.731853,1787275152.730258,1.595,1,1,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,1.000000,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,0.996226,-0.004768,0.417144,0.293927,0.305753,-0.001335,-0.008965,0.996141,-0.002442,0.095238,0.046398,-0.065934,-0.007326,-0.021978,0.266667,1.442735,8.526496,1.912088,-0.007326,0.075702
1787275152.736853,1787275152.730258,6.595,0,1,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,1.000000,-0.004768,0.415999,0.293164,0.306134,-0.001335,-0.008965,0.996238,-0.004768,0.417144,0.293927,0.305753,-0.001335,-0.008965,0.996141,-0.002442,0.095238,0.046398,-0.065934,-0.007326,-0.021978,0.266667,1.442735,8.526496,1.912088,-0.007326,0.075702
