t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787274612.943260,,,0,0,,,,,,,,,,,,,,,0.000954,0.406462,0.289349,0.264935,-0.000954,-0.005531,0.999370,-0.002442,0.207570,0.163614,0.402930,-0.021978,-0.007326,-0.129915,1.565812,10.290598,2.605617,-0.012210,0.085470
1787274612.948217,1787274612.944336,3.881,1,1,0.000954,0.406462,0.289349,0.264935,-0.000954,-0.005531,1.000000,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,0.999370,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,0.999370,0.002442,0.192918,0.129426,0.285714,-0.007326,-0.007326,-0.116239,1.524786,10.222222,2.532357,-0.007326,0.090354
1787274612.953212,1787274612.944336,8.876,0,1,0.000954,0.406462,0.289349,0.264935,-0.000954,-0.005531,1.000000,0.000954,0.407983,0.290110,0.267216,-0.000954,-0.005531,0.999372,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,0.999370,0.002442,0.192918,0.129426,0.285714,-0.007326,-0.007326,-0.116239,1.524786,10.222222,2.532357,-0.007326,0.090354
1787274612.958216,1787274612.954336,3.880,1,1,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,1.000000,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,0.999374,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,0.999370,-0.002442,0.188034,0.095238,0.212454,0.007326,-0.021978,-0.102564,1.497436,8.758974,1.970696,-0.017094,0.070818
1787274612.963212,1787274612.954336,8.877,0,1,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,1.000000,0.000954,0.407988,0.290112,0.267224,-0.000954,-0.005531,0.999376,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,0.999370,-0.002442,0.188034,0.095238,0.212454,0.007326,-0.021978,-0.102564,1.497436,8.758974,1.970696,-0.017094,0.070818
1787274612.968226,1787274612.964336,3.890,1,1,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,1.000000,0.000954,0.408014,0.290133,0.267259,-0.000954,-0.005531,0.999378,0.000954,0.410658,0.291638,0.266842,-0.000954,-0.005913,0.999370,0.002442,0.202686,0.036630,-0.329670,0.021978,-0.065934,-0.088889,1.593162,7.500855,1.404151,-0.026862,0.051282
1787274612.973217,1787274612.964336,8.881,0,1,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,1.000000,0.000954,0.408020,0.290138,0.267268,-0.000954,-0.005531,0.999380,0.000954,0.412184,0.292020,0.264935,-0.000954,-0.005913,0.999370,-0.007326,0.100122,0.061050,-0.007326,0.021978,-0.021978,-0.061538,2.030769,5.490598,1.326007,-0.036630,0.012210
1787274612.978218,1787274612.964336,13.882,0,1,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,1.000000,0.000954,0.408026,0.290143,0.267277,-0.000954,-0.005531,0.999383,0.000954,0.412184,0.292020,0.264935,-0.000954,-0.005913,0.999370,-0.007326,0.100122,0.061050,-0.007326,0.021978,-0.021978,-0.061538,2.030769,5.490598,1.326007,-0.036630,0.012210
1787274612.983212,1787274612.964336,18.876,0,1,0.000954,0.409895,0.291638,0.269894,-0.000954,-0.005531,1.000000,0.000954,0.408033,0.290148,0.267286,-0.000954,-0.005531,0.999385,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,0.999370,-0.002442,0.105006,0.085470,-0.095238,0.007326,-0.021978,-0.047863,1.989744,5.299145,1.233211,-0.046398,0.002442
1787274612.988212,1787274612.984335,3.877,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408110,0.290173,0.267132,-0.000944,-0.005542,0.999387,0.000954,0.413329,0.292782,0.260357,-0.000954,-0.005913,0.999370,0.002442,0.036630,0.007326,-0.168498,0.007326,-0.021978,-0.075214,2.331624,5.435897,1.409035,-0.017094,-0.002442
1787274612.993212,1787274612.984335,8.877,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408125,0.290181,0.267121,-0.000942,-0.005543,0.999389,0.000954,0.413329,0.292782,0.260357,-0.000954,-0.005913,0.999370,0.002442,0.036630,0.007326,-0.168498,0.007326,-0.021978,-0.075214,2.331624,5.435897,1.409035,-0.017094,-0.002442
1787274612.998212,1787274612.994336,3.876,1,1,-0.000028,0.397347,0.538364,-0.141024,-0.000023,0.000006,1.000000,0.000921,0.407633,0.298386,0.253617,-0.000923,-0.005347,0.999391,0.000954,0.413329,0.292782,0.259213,-0.000954,-0.005913,0.999300,-0.002442,0.002442,-0.002442,-0.300366,-0.036630,-0.021978,-0.061538,2.413675,5.476923,1.423687,-0.021978,-0.002442
1787274613.003230,1787274612.994336,8.894,0,1,-0.000028,0.397347,0.538364,-0.141024,-0.000023,0.000006,1.000000,0.000918,0.407598,0.299217,0.252251,-0.000920,-0.005328,0.999393,0.000954,0.413329,0.292401,0.255779,-0.001335,-0.005913,0.999300,-0.002442,0.002442,-0.021978,-0.432234,-0.021978,-0.021978,-0.075214,2.454701,5.586325,1.643468,-0.002442,-0.002442
1787274613.008212,1787274613.004336,3.876,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408171,0.290204,0.267086,-0.000938,-0.005547,0.999395,0.000954,0.413329,0.292401,0.254635,-0.000954,-0.005913,0.999370,0.002442,0.012210,-0.026862,-0.315018,-0.021978,-0.021978,-0.075214,2.468376,5.654701,1.741148,-0.002442,-0.007326
1787274613.013212,1787274613.004336,8.876,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408186,0.290211,0.267075,-0.000937,-0.005548,0.999397,0.000954,0.413329,0.292401,0.252728,-0.001335,-0.005913,0.999370,-0.002442,0.021978,-0.021978,-0.432234,-0.007326,0.007326,-0.075214,2.441026,5.873504,1.702076,-0.002442,-0.007326
1787274613.018212,1787274613.014337,3.876,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408202,0.290219,0.267063,-0.000936,-0.005549,0.999399,0.000954,0.413710,0.292401,0.246624,-0.001335,-0.005913,0.999370,-0.002442,0.036630,-0.021978,-0.739927,-0.021978,-0.021978,-0.075214,2.358974,6.133333,2.004884,-0.007326,-0.012210
1787274613.023212,1787274613.014337,8.875,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408217,0.290227,0.267052,-0.000935,-0.005550,0.999401,0.000954,0.413710,0.292020,0.246242,-0.001335,-0.005913,0.999370,-0.002442,0.031746,-0.075702,-0.358974,0.007326,-0.021978,-0.061538,2.317949,6.174359,2.249084,-0.007326,-0.012210
1787274613.028217,1787274613.024335,3.882,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408232,0.290234,0.267041,-0.000933,-0.005552,0.999404,0.000954,0.414855,0.290875,0.241665,-0.001335,-0.005913,0.999370,-0.002442,0.105006,-0.144078,-0.652015,-0.007326,-0.007326,-0.061538,1.989744,6.283761,2.327228,-0.026862,-0.012210
1787274613.033212,1787274613.024335,8.877,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408247,0.290242,0.267029,-0.000932,-0.005553,0.999406,0.000954,0.415236,0.290112,0.239757,-0.001335,-0.005913,0.999300,-0.002442,0.139194,-0.168498,-0.549451,-0.021978,0.007326,-0.061538,1.880342,6.434188,2.439560,-0.021978,-0.017094
1787274613.038212,1787274613.034336,3.876,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408263,0.290249,0.267018,-0.000931,-0.005554,0.999408,0.000954,0.416381,0.288586,0.239376,-0.000954,-0.006294,0.999370,-0.002442,0.129426,-0.178266,-0.139194,0.021978,-0.007326,-0.061538,1.784615,6.611966,2.268620,-0.021978,-0.017094
1787274613.043212,1787274613.034336,8.876,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408278,0.290257,0.267006,-0.000930,-0.005556,0.999410,0.000954,0.416381,0.288586,0.239376,-0.000954,-0.006294,0.999370,-0.002442,0.129426,-0.178266,-0.139194,0.021978,-0.007326,-0.061538,1.784615,6.611966,2.268620,-0.021978,-0.017094
1787274613.048214,1787274613.044337,3.877,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408293,0.290265,0.266995,-0.000928,-0.005557,0.999412,0.000954,0.416762,0.288205,0.237087,-0.001335,-0.005913,0.999370,-0.002442,0.095238,-0.158730,-0.432234,-0.007326,-0.007326,-0.061538,1.825641,6.611966,2.214896,-0.026862,-0.017094
1787274613.053215,1787274613.044337,8.878,0,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408309,0.290272,0.266983,-0.000927,-0.005558,0.999414,0.000954,0.417144,0.287060,0.234798,-0.000954,-0.005913,0.999300,-0.007326,0.075702,-0.148962,-0.271062,0.021978,0.007326,-0.061538,1.798291,6.707692,2.366300,-0.026862,-0.017094
1787274613.058213,1787274613.054337,3.877,1,1,0.000954,0.412566,0.292401,0.263790,-0.000572,-0.005913,1.000000,0.000954,0.408324,0.290280,0.266972,-0.000926,-0.005559,0.999416,0.000954,0.417525,0.286679,0.233654,-0.000954,-0.005913,0.999370,0.002442,0.090354,-0.139194,-0.271062,0.021978,-0.021978,-0.075214,1.770940,6.707692,2.346764,-0.041514,-0.017094
