t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787274612.935926,,,0,0,,,,,,,,,,,,,,,-0.006676,0.405699,0.292782,0.295834,-0.014305,-0.020027,0.995575,-0.002442,0.178266,0.124542,0.417582,-0.007326,0.007326,0.471795,1.743590,9.716239,2.356532,0.114774,0.173382
1787274612.940879,,,0,0,,,,,,,,,,,,,,,-0.006676,0.407225,0.294308,0.298123,-0.014305,-0.020027,0.995575,0.002442,0.183150,0.168498,0.315018,0.007326,-0.007326,0.471795,1.620513,9.470085,2.312576,0.119658,0.178266
1787274612.945879,1787274612.944336,1.543,1,1,-0.006676,0.407225,0.294308,0.298123,-0.014305,-0.020027,1.000000,-0.006676,0.407988,0.294690,0.299649,-0.014305,-0.020027,0.995575,-0.006676,0.407988,0.294690,0.299649,-0.014305,-0.020027,0.995575,-0.002442,0.178266,0.168498,0.329670,-0.007326,-0.007326,0.471795,1.634188,9.442735,2.297924,0.119658,0.178266
1787274612.950878,1787274612.944336,6.541,0,1,-0.006676,0.407225,0.294308,0.298123,-0.014305,-0.020027,1.000000,-0.006676,0.407986,0.294689,0.299644,-0.014305,-0.020027,0.995590,-0.006676,0.408370,0.295453,0.300031,-0.014305,-0.020027,0.995575,-0.002442,0.158730,0.163614,0.241758,-0.007326,-0.021978,0.458120,1.702564,9.360684,2.293040,0.119658,0.178266
1787274612.955878,1787274612.954336,1.543,1,1,-0.006676,0.408370,0.295453,0.300031,-0.014305,-0.020027,1.000000,-0.006676,0.407991,0.294695,0.299652,-0.014305,-0.020027,0.995604,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,0.995506,-0.002442,0.100122,0.134310,0.007326,0.007326,-0.036630,0.403419,1.907692,8.335043,1.936508,0.100122,0.139194
1787274612.960878,1787274612.954336,6.543,0,1,-0.006676,0.408370,0.295453,0.300031,-0.014305,-0.020027,1.000000,-0.006676,0.407992,0.294697,0.299653,-0.014305,-0.020027,0.995619,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,0.995506,-0.002442,0.100122,0.134310,0.007326,0.007326,-0.036630,0.403419,1.907692,8.335043,1.936508,0.100122,0.139194
1787274612.965878,1787274612.964336,1.542,1,1,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,1.000000,-0.006676,0.408003,0.294715,0.299649,-0.014305,-0.020027,0.995634,-0.006676,0.410277,0.296597,0.295834,-0.014305,-0.020409,0.995437,-0.017094,0.134310,0.017094,-0.446886,-0.036630,-0.036630,0.211966,2.126496,6.188034,1.321123,0.041514,0.085470
1787274612.970883,1787274612.964336,6.547,0,1,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,1.000000,-0.006676,0.408007,0.294722,0.299649,-0.014305,-0.020027,0.995649,-0.006676,0.411040,0.296979,0.295453,-0.014305,-0.020409,0.995437,-0.012210,0.100122,0.075702,-0.109890,-0.007326,-0.021978,0.075214,2.276923,5.381197,1.257631,0.026862,0.041514
1787274612.975877,1787274612.964336,11.541,0,1,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,1.000000,-0.006676,0.408011,0.294728,0.299649,-0.014305,-0.020027,0.995663,-0.006676,0.411040,0.296979,0.295453,-0.014305,-0.020409,0.995437,-0.012210,0.100122,0.075702,-0.109890,-0.007326,-0.021978,0.075214,2.276923,5.381197,1.257631,0.026862,0.041514
1787274612.980877,1787274612.964336,16.541,0,1,-0.006676,0.409133,0.296597,0.299649,-0.014305,-0.020027,1.000000,-0.006676,0.408015,0.294734,0.299649,-0.014305,-0.020027,0.995678,-0.006676,0.411803,0.297360,0.292020,-0.014687,-0.020409,0.995437,0.002442,0.065934,0.007326,-0.329670,-0.021978,-0.007326,-0.020513,2.441026,5.463248,1.291819,0.007326,0.021978
