t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275152.722624,,,0,0,,,,,,,,,,,,,,,-0.006676,0.406462,0.286679,0.295834,-0.010872,-0.019646,0.997351,-0.002442,0.197802,0.246642,0.153846,-0.007326,0.007326,0.471795,1.647863,9.757265,2.683761,0.085470,0.173382
1787275152.727575,1787275152.725257,2.318,1,1,-0.006676,0.406462,0.286679,0.295834,-0.010872,-0.019646,1.000000,-0.006294,0.407225,0.287823,0.297360,-0.010872,-0.020027,0.997351,-0.006294,0.407225,0.287823,0.297360,-0.010872,-0.020027,0.997351,0.002442,0.197802,0.236874,0.256410,-0.021978,-0.007326,0.471795,1.579487,9.688889,2.615385,0.085470,0.173382
1787275152.732576,1787275152.730258,2.318,1,1,-0.006294,0.407225,0.287823,0.297360,-0.010872,-0.020027,1.000000,-0.006294,0.407225,0.287823,0.297360,-0.010872,-0.020027,0.997360,-0.006676,0.409133,0.290112,0.297742,-0.010872,-0.020027,0.997279,-0.007326,0.163614,0.173382,0.036630,0.007326,-0.021978,0.389744,1.702564,8.266667,2.043956,0.070818,0.139194
1787275152.737574,1787275152.736619,0.955,1,1,-0.000028,0.397347,0.538364,-0.141024,-0.000023,0.000006,1.000000,-0.006253,0.407159,0.289493,0.294438,-0.010800,-0.019894,0.997368,-0.006676,0.409133,0.290112,0.297742,-0.010872,-0.020027,0.997279,-0.007326,0.163614,0.173382,0.036630,0.007326,-0.021978,0.389744,1.702564,8.266667,2.043956,0.070818,0.139194
1787275152.742573,1787275152.740260,2.313,1,1,-0.000705,0.398416,0.531087,-0.133747,-0.001196,-0.002161,1.000000,-0.006238,0.407137,0.290256,0.293050,-0.010775,-0.019849,0.997377,-0.006676,0.409895,0.290112,0.295834,-0.010872,-0.020409,0.997279,-0.007326,0.168498,0.051282,-0.285714,0.007326,-0.051282,0.294017,1.770940,6.953846,1.496947,0.041514,0.109890
1787275152.747574,1787275152.745260,2.313,1,1,-0.001504,0.399674,0.521083,-0.123743,-0.002579,-0.004714,1.000000,-0.006230,0.407124,0.290933,0.291746,-0.010761,-0.019823,0.997386,-0.006676,0.411040,0.290112,0.293164,-0.010872,-0.020409,0.997279,-0.017094,0.183150,0.051282,-0.300366,-0.021978,-0.021978,0.184615,1.852991,5.641026,1.282051,0.017094,0.065934
1787275152.752573,1787275152.750262,2.312,1,1,-0.002189,0.400753,0.511082,-0.113742,-0.003764,-0.006902,1.000000,-0.006226,0.407117,0.291544,0.290509,-0.010754,-0.019809,0.997395,-0.006676,0.411803,0.290875,0.293164,-0.010872,-0.020409,0.997279,-0.012210,0.163614,0.105006,-0.095238,-0.007326,0.007326,0.129915,1.894017,5.217094,1.184371,0.007326,0.046398
1787275152.757577,1787275152.755261,2.316,1,1,-0.002775,0.401678,0.501083,-0.103743,-0.004779,-0.008777,1.000000,-0.006224,0.407114,0.292089,0.289338,-0.010750,-0.019802,0.997404,-0.006676,0.412566,0.292020,0.291257,-0.010872,-0.020409,0.997279,-0.002442,0.134310,0.129426,-0.300366,-0.021978,-0.051282,0.047863,1.935043,5.244444,1.067155,-0.002442,0.021978
1787275152.762574,1787275152.760262,2.312,1,1,-0.003278,0.402470,0.491080,-0.093740,-0.005650,-0.010384,1.000000,-0.006224,0.407114,0.292566,0.288235,-0.010750,-0.019802,0.997413,-0.006676,0.412566,0.292020,0.289349,-0.010872,-0.020409,0.997279,0.002442,0.070818,0.046398,-0.388278,-0.021978,-0.036630,0.020513,2.167521,5.476923,1.145299,-0.002442,0.021978
1787275152.767573,1787275152.765260,2.313,1,1,-0.003709,0.403149,0.481085,-0.083745,-0.006396,-0.011761,1.000000,-0.006225,0.407116,0.292977,0.287198,-0.010753,-0.019807,0.997421,-0.006676,0.412566,0.292020,0.286297,-0.011254,-0.020790,0.997279,-0.007326,-0.021978,0.007326,-0.432234,-0.036630,-0.021978,0.020513,2.454701,5.572650,1.291819,0.002442,0.012210
1787275152.772573,1787275152.770261,2.312,1,1,-0.004078,0.403732,0.471082,-0.073742,-0.007035,-0.012943,1.000000,-0.006228,0.407120,0.293321,0.286228,-0.010757,-0.019815,0.997430,-0.006676,0.412566,0.292020,0.286297,-0.011254,-0.020790,0.997279,-0.007326,-0.021978,0.007326,-0.432234,-0.036630,-0.021978,0.020513,2.454701,5.572650,1.291819,0.002442,0.012210
1787275152.777573,1787275152.775261,2.312,1,1,-0.004395,0.404231,0.461083,-0.063743,-0.007583,-0.013955,1.000000,-0.006231,0.407125,0.293598,0.285324,-0.010762,-0.019825,0.997439,-0.006676,0.412566,0.291638,0.282101,-0.011254,-0.020790,0.997279,0.002442,0.012210,-0.017094,-0.329670,-0.021978,0.007326,-0.006838,2.454701,5.859829,1.433455,0.002442,0.012210
1787275152.782573,1787275152.780262,2.311,1,1,-0.004666,0.404658,0.451080,-0.053741,-0.008053,-0.014822,1.000000,-0.006235,0.407131,0.293809,0.284487,-0.010769,-0.019837,0.997448,-0.006676,0.412566,0.291638,0.282101,-0.011254,-0.020790,0.997279,0.002442,0.012210,-0.017094,-0.329670,-0.021978,0.007326,-0.006838,2.454701,5.859829,1.433455,0.002442,0.012210
1787275152.787574,1787275152.785347,2.228,1,1,-0.004902,0.405030,0.440913,-0.043574,-0.008462,-0.015577,1.000000,-0.006239,0.407137,0.293947,0.283723,-0.010776,-0.019849,0.997457,-0.006676,0.412566,0.291638,0.280194,-0.011254,-0.020790,0.997279,0.002442,0.012210,-0.031746,-0.476190,0.007326,0.007326,-0.006838,2.441026,5.969231,1.477411,-0.002442,0.007326
1787275152.792573,1787275152.790262,2.311,1,1,-0.005098,0.405339,0.431077,-0.033737,-0.008801,-0.016203,1.000000,-0.006243,0.407143,0.294031,0.283013,-0.010782,-0.019862,0.997466,-0.006676,0.412566,0.291257,0.274472,-0.011254,-0.020790,0.997279,-0.007326,0.002442,-0.036630,-0.666667,-0.007326,0.007326,-0.006838,2.495726,6.064957,1.785104,-0.007326,0.002442
1787275152.797572,1787275152.795261,2.311,1,1,-0.005269,0.405609,0.421086,-0.023746,-0.009097,-0.016749,1.000000,-0.006246,0.407150,0.294042,0.282376,-0.010789,-0.019874,0.997474,-0.006676,0.412566,0.291257,0.272183,-0.011254,-0.020790,0.997279,-0.002442,0.002442,-0.036630,-0.622711,0.007326,-0.007326,-0.006838,2.495726,6.119658,1.936508,-0.007326,-0.002442
1787275152.802574,1787275152.800261,2.314,1,1,-0.005415,0.405840,0.411084,-0.013744,-0.009351,-0.017218,1.000000,-0.006250,0.407156,0.293986,0.281805,-0.010796,-0.019887,0.997483,-0.006676,0.412947,0.290494,0.266842,-0.011254,-0.020790,0.997279,-0.002442,0.017094,-0.085470,-0.710623,0.007326,-0.021978,-0.006838,2.400000,6.324786,2.219780,-0.007326,-0.007326
1787275152.807573,1787275152.805260,2.313,1,1,-0.005541,0.406037,0.401085,-0.003745,-0.009568,-0.017619,1.000000,-0.006254,0.407162,0.293864,0.281302,-0.010803,-0.019899,0.997492,-0.006676,0.413710,0.289731,0.263027,-0.011254,-0.020790,0.997279,-0.002442,0.075702,-0.129426,-0.564103,0.007326,-0.007326,-0.020513,2.126496,6.598291,2.293040,-0.012210,-0.007326
1787275152.812572,1787275152.810260,2.312,1,1,-0.005649,0.406207,0.391086,0.006253,-0.009754,-0.017963,1.000000,-0.006258,0.407167,0.293675,0.280865,-0.010809,-0.019910,0.997501,-0.006676,0.413710,0.289731,0.263027,-0.011254,-0.020790,0.997279,-0.002442,0.075702,-0.129426,-0.564103,0.007326,-0.007326,-0.020513,2.126496,6.598291,2.293040,-0.012210,-0.007326
1787275152.817573,1787275152.815261,2.312,1,1,-0.005741,0.406353,0.381081,0.016258,-0.009914,-0.018258,1.000000,-0.006261,0.407173,0.293419,0.280494,-0.010815,-0.019921,0.997510,-0.006676,0.414092,0.288968,0.260739,-0.011254,-0.020790,0.997279,-0.007326,0.100122,-0.124542,-0.593407,-0.007326,-0.007326,-0.006838,2.085470,6.652991,2.332112,-0.012210,-0.007326
1787275152.822572,1787275152.820278,2.294,1,1,-0.005820,0.406478,0.371047,0.026293,-0.010051,-0.018512,1.000000,-0.006264,0.407178,0.293094,0.280193,-0.010820,-0.019931,0.997518,-0.006676,0.414473,0.288205,0.258068,-0.011254,-0.020790,0.997279,-0.002442,0.075702,-0.148962,-0.373626,-0.007326,-0.007326,-0.020513,2.017094,6.858120,2.307692,-0.012210,-0.007326
1787275152.827571,1787275152.825429,2.143,1,1,-0.005890,0.406587,0.360748,0.036592,-0.010172,-0.018734,1.000000,-0.006267,0.407183,0.292685,0.279976,-0.010825,-0.019941,0.997527,-0.006676,0.414855,0.287442,0.256924,-0.011254,-0.020790,0.997279,-0.002442,0.061050,-0.158730,-0.344322,-0.007326,0.007326,-0.006838,2.030769,6.926496,2.253968,-0.012210,-0.007326
1787275152.832572,1787275152.830780,1.792,1,1,-0.005951,0.406684,0.350045,0.047295,-0.010278,-0.018930,1.000000,-0.006270,0.407187,0.292179,0.279856,-0.010830,-0.019951,0.997536,-0.006676,0.415618,0.286297,0.254253,-0.011254,-0.020790,0.997279,-0.002442,0.090354,-0.144078,-0.358974,0.007326,-0.007326,-0.006838,1.852991,6.940171,2.253968,-0.017094,-0.012210
